index,zip,name
0,94022,Los Altos
1,94023,Los Altos Hills
2,94024,Los Altos
3,94024,Los Altos
4,94035,Los Altos Hills
5,94039,Mountain View
6,94040,Mountain View
7,94041,Mountain View
8,94042,Mountain View
9,94043,Mountain View
10,94085,Mountain View
11,94086,Sunnyvale
12,94087,Sunnyvale
13,94088,Sunnyvale
14,94089,Sunnyvale
15,94090,Sunnyvale
16,94301,Sunnyvale
17,94302,Palo Alto
18,94303,Palo Alto
19,94303,East Palo Alto
20,94304,Palo Alto
21,94305,Palo Alto
22,94306,Palo Alto
23,94309,Palo Alto
24,94310,Palo Alto
25,95002,Palo Alto
26,95009,Campbell
27,95011,Campbell
28,95013,Campbell
29,95015,Cupertino
30,95020,Cupertino
31,95021,Gilroy
32,95026,Gilroy
33,95030,Los Gatos
34,95031,Monte Sereno
35,95032,Los Gatos
36,95035,Los Gatos
37,95036,Milpitas
38,95037,Milpitas
39,95038,Morgan Hill
40,95042,Morgan Hill
41,95051,Santa Clara
42,95052,Santa Clara
43,95054,Santa Clara
44,95055,Santa Clara
45,95056,Santa Clara
46,95070,Santa Clara
47,95071,Saratoga
48,95101,Saratoga
49,95102,San Jose
50,95103,San Jose
51,95106,San Jose
52,95108,San Jose
53,95109,San Jose
54,95110,San Jose
55,95111,San Jose
56,95112,San Jose
57,95113,San Jose
58,95114,San Jose
59,95115,San Jose
60,95116,San Jose
61,95117,San Jose
62,95118,San Jose
63,95119,San Jose
64,95120,San Jose
65,95121,San Jose
66,95122,San Jose
67,95123,San Jose
68,95124,San Jose
69,95125,San Jose
70,95126,San Jose
71,95127,San Jose
72,95128,San Jose
73,95129,San Jose
74,95130,San Jose
75,95131,San Jose
76,95132,San Jose
77,95133,San Jose
78,95134,San Jose
79,95135,San Jose
80,95136,San Jose
81,95137,San Jose
82,95138,San Jose
83,95139,San Jose
84,95140,San Jose
85,95141,San Jose
86,95142,San Jose
87,95148,San Jose
88,95150,San Jose
89,95151,San Jose
90,95152,San Jose
91,95153,San Jose
92,95154,San Jose
93,95155,San Jose
94,95156,San Jose
95,95157,San Jose
96,95158,San Jose
97,95159,San Jose
98,95160,San Jose
99,95161,San Jose
100,95164,San Jose
101,95170,San Jose
102,95171,San Jose
103,95172,San Jose
104,95173,San Jose
